symbol,date,price
SER1,Jan 2000,39.81
SER1,Feb 2000,36.35
SER1,Mar 2000,43.22
SER1,Apr 2000,28.37
SER1,May 2000,25.45
SER1,Jun 2000,32.54
SER1,Jul 2000,28.4
SER1,Aug 2000,28.4
SER1,Sep 2000,24.53
SER1,Oct 2000,28.02
SER1,Nov 2000,23.34
SER1,Dec 2000,17.65
SER1,Jan 2001,24.84
SER1,Feb 2001,24
SER1,Mar 2001,22.25
SER1,Apr 2001,27.56
SER1,May 2001,28.14
SER1,Jun 2001,29.7
SER1,Jul 2001,26.93
SER1,Aug 2001,23.21
SER1,Sep 2001,20.82
SER1,Oct 2001,23.65
SER1,Nov 2001,26.12
SER1,Dec 2001,26.95
SER1,Jan 2002,25.92
SER1,Feb 2002,23.73
SER1,Mar 2002,24.53
SER1,Apr 2002,21.26
SER1,May 2002,20.71
SER1,Jun 2002,22.25
SER1,Jul 2002,19.52
SER1,Aug 2002,19.97
SER1,Sep 2002,17.79
SER1,Oct 2002,21.75
SER1,Nov 2002,23.46
SER1,Dec 2002,21.03
SER1,Jan 2003,19.31
SER1,Feb 2003,19.34
SER1,Mar 2003,19.76
SER1,Apr 2003,20.87
SER1,May 2003,20.09
SER1,Jun 2003,20.93
SER1,Jul 2003,21.56
SER1,Aug 2003,21.65
SER1,Sep 2003,22.69
SER1,Oct 2003,21.45
SER1,Nov 2003,21.1
SER1,Dec 2003,22.46
SER1,Jan 2004,22.69
SER1,Feb 2004,21.77
SER1,Mar 2004,20.46
SER1,Apr 2004,21.45
SER1,May 2004,21.53
SER1,Jun 2004,23.44
SER1,Jul 2004,23.38
SER1,Aug 2004,22.47
SER1,Sep 2004,22.76
SER1,Oct 2004,23.02
SER1,Nov 2004,24.6
SER1,Dec 2004,24.52
SER1,Jan 2005,24.11
SER1,Feb 2005,23.15
SER1,Mar 2005,22.24
SER1,Apr 2005,23.28
SER1,May 2005,23.82
SER1,Jun 2005,22.93
SER1,Jul 2005,23.64
SER1,Aug 2005,25.35
SER1,Sep 2005,23.83
SER1,Oct 2005,23.8
SER1,Nov 2005,25.71
SER1,Dec 2005,24.29
SER1,Jan 2006,26.14
SER1,Feb 2006,25.04
SER1,Mar 2006,25.36
SER1,Apr 2006,22.5
SER1,May 2006,21.19
SER1,Jun 2006,21.8
SER1,Jul 2006,22.51
SER1,Aug 2006,24.13
SER1,Sep 2006,25.68
SER1,Oct 2006,26.96
SER1,Nov 2006,27.66
SER1,Dec 2006,28.13
SER1,Jan 2007,29.07
SER1,Feb 2007,26.63
SER1,Mar 2007,26.35
SER1,Apr 2007,28.3
SER1,May 2007,29.11
SER1,Jun 2007,27.95
SER1,Jul 2007,27.5
SER1,Aug 2007,27.34
SER1,Sep 2007,28.04
SER1,Oct 2007,35.03
SER1,Nov 2007,32.09
SER1,Dec 2007,34
SER1,Jan 2008,31.13
SER1,Feb 2008,26.07
SER1,Mar 2008,27.21
SER1,Apr 2008,27.34
SER1,May 2008,27.25
SER1,Jun 2008,26.47
SER1,Jul 2008,24.75
SER1,Aug 2008,26.36
SER1,Sep 2008,25.78
SER1,Oct 2008,21.57
SER1,Nov 2008,19.66
SER1,Dec 2008,18.91
SER1,Jan 2009,16.63
SER1,Feb 2009,15.81
SER1,Mar 2009,17.99
SER1,Apr 2009,19.84
SER1,May 2009,20.59
SER1,Jun 2009,23.42
SER1,Jul 2009,23.18
SER1,Aug 2009,24.43
SER1,Sep 2009,25.49
SER1,Oct 2009,27.48
SER1,Nov 2009,29.27
SER1,Dec 2009,30.34
SER1,Jan 2010,28.05
SER1,Feb 2010,28.67
SER1,Mar 2010,28.8
SER2,Jan 2000,64.56
SER2,Feb 2000,68.87
SER2,Mar 2000,67
SER2,Apr 2000,55.19
SER2,May 2000,48.31
SER2,Jun 2000,36.31
SER2,Jul 2000,30.12
SER2,Aug 2000,41.5
SER2,Sep 2000,38.44
SER2,Oct 2000,36.62
SER2,Nov 2000,24.69
SER2,Dec 2000,15.56
SER2,Jan 2001,17.31
SER2,Feb 2001,10.19
SER2,Mar 2001,10.23
SER2,Apr 2001,15.78
SER2,May 2001,16.69
SER2,Jun 2001,14.15
SER2,Jul 2001,12.49
SER2,Aug 2001,8.94
SER2,Sep 2001,5.97
SER2,Oct 2001,6.98
SER2,Nov 2001,11.32
SER2,Dec 2001,10.82
SER2,Jan 2002,14.19
SER2,Feb 2002,14.1
SER2,Mar 2002,14.3
SER2,Apr 2002,16.69
SER2,May 2002,18.23
SER2,Jun 2002,16.25
SER2,Jul 2002,14.45
SER2,Aug 2002,14.94
SER2,Sep 2002,15.93
SER2,Oct 2002,19.36
SER2,Nov 2002,23.35
SER2,Dec 2002,18.89
SER2,Jan 2003,21.85
SER2,Feb 2003,22.01
SER2,Mar 2003,26.03
SER2,Apr 2003,28.69
SER2,May 2003,35.89
SER2,Jun 2003,36.32
SER2,Jul 2003,41.64
SER2,Aug 2003,46.32
SER2,Sep 2003,48.43
SER2,Oct 2003,54.43
SER2,Nov 2003,53.97
SER2,Dec 2003,52.62
SER2,Jan 2004,50.4
SER2,Feb 2004,43.01
SER2,Mar 2004,43.28
SER2,Apr 2004,43.6
SER2,May 2004,48.5
SER2,Jun 2004,54.4
SER2,Jul 2004,38.92
SER2,Aug 2004,38.14
SER2,Sep 2004,40.86
SER2,Oct 2004,34.13
SER2,Nov 2004,39.68
SER2,Dec 2004,44.29
SER2,Jan 2005,43.22
SER2,Feb 2005,35.18
SER2,Mar 2005,34.27
SER2,Apr 2005,32.36
SER2,May 2005,35.51
SER2,Jun 2005,33.09
SER2,Jul 2005,45.15
SER2,Aug 2005,42.7
SER2,Sep 2005,45.3
SER2,Oct 2005,39.86
SER2,Nov 2005,48.46
SER2,Dec 2005,47.15
SER2,Jan 2006,44.82
SER2,Feb 2006,37.44
SER2,Mar 2006,36.53
SER2,Apr 2006,35.21
SER2,May 2006,34.61
SER2,Jun 2006,38.68
SER2,Jul 2006,26.89
SER2,Aug 2006,30.83
SER2,Sep 2006,32.12
SER2,Oct 2006,38.09
SER2,Nov 2006,40.34
SER2,Dec 2006,39.46
SER2,Jan 2007,37.67
SER2,Feb 2007,39.14
SER2,Mar 2007,39.79
SER2,Apr 2007,61.33
